Module 5.6 - The Fundamental Theorem of Calculus Copyedit and Additional Reviews,,,,,,,,,Adjustment Actions (not for reviewers),,,
Review,Lesson,Section,Question Set (If Applicable),Question # and Type (If Applicable),"Location

Part, caption, location in question","Issue

Refer to specific text where possible.","Recommended Edit

Add actionable guidance where possible.",,OS: Category,OS: Assignee,OS: Status,Assignee Notes and Resolution Confirmation
Copyedit,5.6.1,Animated Figure,,1: MC,Embedded question prompt,Prompt is in the form of a question instead of a statement. <question>How many liters of water is in the tank after 3\text{ minutes?}</question>,"Rewrite question into statement form if possible, such as: After <m>3\text{ minutes,}</m> <m>\underline{\phantom{XXXXXX}}</m> <m>\text{liters}</m> of water is in the tank.",,Content Change,Author,Open,
Copyedit,5.6.1,Animated Figure,,2: MC,Embedded question prompt,"Should a \ be added before the comma between the 2 and the dt in the following? F(x) = \int_0^x 2,dt\text{,}","If appropriate, add \ before the comma between the 2 and dt:  F(x) = \int_0^x 2\,dt\text{,}",,Content Change,Author,Open,
Copyedit,5.6.1,Animated Figure,,2: SA,Embedded question Hint 1 and Explanation,"Question hint and explanation both refer to the ""Fundamental Theorem of Calculus Part 1,"" which students do not learn until the next lesson.",Rewrite Hint 1 and Explanation if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.3,Framing Text,,,"Framing text, last sentence","The end of the sentence is unclear (see bold): In this lesson, we will explore how to use the FTC together with the chain rule to find derivatives of integrals with upper a function as an upper limit.",Revise sentence for clarity.,,Content Change,Author,Open,
Copyedit,5.6.3,Framing Text,,,Framing text,Should the chain rule be defined/redefined within the framing text?,Add definition if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.3,Follow-Up Question,QS3,1: MC,Options 1 and 2 Explanation,"To what does ""property"" refer? The word ""property"" hasn't been used in this lesson so far. Will students understand what property means in this context? (term appears in other questions/explanations throughout the module; if adjusted here, please search and adjust elsewhere as well)","Replace the word property if appropriate, x2.",,Content Change,Author,Open,
Copyedit,5.6.3,Follow-Up Question,QS3,1: MC,Option 1 Explanation,"Uses the term ""splitting""; will students know what this means in this context?",Replace the word splitting if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.4,Follow-Up Question,QS1,1: MC,"Option 3 Explanation, second sentence","Can ""its"" be replaced with f(x)'s in the following sentence? The Fundamental Theorem of Calculus, Part 2 connects the definite integral of f(x) with the values of its antiderivative at the endpoints.","Replace ""its"" with ""f(x)'s"" if appropriate: The Fundamental Theorem of Calculus, Part 2 connects the definite integral of f(x) with the values of f(x)'s antiderivative at the endpoints.",,Content Change,Author,Open,
Copyedit,5.6.5,Animated Figure,,,Graphs,Missing labels for x- and y-axes in both graphs.,Add x- and y-axes labels in graphs in animated figure.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.5,Animated Figure,,,Scene 2 at 0:26 and Scene 4 at 1:26,"Missing periods at end of sentences at the bottom of left and right columns in the animated figure, i.e., If f is even/odd...",Add periods to sentences at the bottom of left and right columns in the animated figure.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.5,Animated Figure,,2: MC,"Embedded Question 2, Option 2 Explanation, second sentence","To what is ""it"" referring in the following sentence? We need to double it because f is even.","Replace ""it"" for clarity.",,Content Change,Author,Open,
